model,component,interest,sparsity,endog,exog,component_time,success,success_time,accuracy,execution_id
timeDecisionTree,Sensor-0.25_0_0.2,-3.374999999999999,0.0410958904109589,1,0,223,20,-1,-9.0,I-122-12-6
timeDecisionTree,Sensor-0.25_0_0.4,-2.1077552901390857,0.0410958904109589,1,0,201,20,-1,-2.3617841964784287,I-122-12-6
timeDecisionTree,Sensor-0.25_0_0.6,-0.013573857464990846,0.0410958904109589,1,0,213,20,-1,-0.29952685495148135,I-122-12-6
timeDecisionTree,Sensor-0.5_0_0.2,-7.5368191281538515,0.0410958904109589,1,0,206,20,-1,-39.49708476603367,I-122-12-6
timeDecisionTree,Sensor-0.5_0_0.4,-4.170874480102782e-05,0.0410958904109589,1,0,208,20,-1,-0.3310166659252456,I-122-12-6
timeDecisionTree,Sensor-0.5_0_0.6,-2.1933176290088268,0.0410958904109589,1,0,212,20,-1,-1.3930023511123775,I-122-12-6
timeDecisionTree,Sensor-0.8_0_0.2,-3.5371085157161017,0.0410958904109589,1,0,210,20,-1,-41.013672392234646,I-122-12-6
timeDecisionTree,Sensor-0.8_0_0.4,-2.3803734719849863,0.0410958904109589,1,0,212,20,-1,-13.140734290796088,I-122-12-6
timeDecisionTree,Sensor-0.8_0_0.6,-0.6487693411100082,0.0410958904109589,1,0,210,20,-1,-4.510292436356559,I-122-12-6
timeDecisionTree,Sensor-0_0_0.2,-4.776482375444049,0.0410958904109589,1,0,209,20,-1,-17.027480512617522,I-122-12-6
timeDecisionTree,Sensor-0_0_0.4,-4.341273896080824,0.0410958904109589,1,0,209,20,-1,-26.98134845372839,I-122-12-6
timeDecisionTree,Sensor-0_0_0.6,-6.653380973698658,0.0410958904109589,1,0,208,20,-1,-55.25556684738296,I-122-12-6
timeRandomForest,Sensor-0.25_0_0.2,-2.5026041666666266,0.0410958904109589,1,0,445,20,-1,-7.111111111111024,I-122-12-6
timeRandomForest,Sensor-0.25_0_0.4,-0.609226168820133,0.0410958904109589,1,0,452,20,-1,-0.8846492797243237,I-122-12-6
timeRandomForest,Sensor-0.25_0_0.6,-0.31600861186448337,0.0410958904109589,1,0,451,20,-1,-0.0006816465849774911,I-122-12-6
timeRandomForest,Sensor-0.5_0_0.2,-11.768932341584671,0.0410958904109589,1,0,452,20,-1,-57.59113635986107,I-122-12-6
timeRandomForest,Sensor-0.5_0_0.4,-0.03227636386940502,0.0410958904109589,1,0,452,20,-1,-0.13988006574836676,I-122-12-6
timeRandomForest,Sensor-0.5_0_0.6,-4.08542332965851,0.0410958904109589,1,0,443,20,-1,-2.877555633724871,I-122-12-6
timeRandomForest,Sensor-0.8_0_0.2,-3.115700913751952,0.0410958904109589,1,0,440,20,-1,-37.33755091432236,I-122-12-6
timeRandomForest,Sensor-0.8_0_0.4,-1.9037833317387598,0.0410958904109589,1,0,442,20,-1,-11.221821878683908,I-122-12-6
timeRandomForest,Sensor-0.8_0_0.6,-0.3812158410489872,0.0410958904109589,1,0,442,20,-1,-3.3774594920076035,I-122-12-6
timeRandomForest,Sensor-0_0_0.2,-4.77648237544416,0.0410958904109589,1,0,444,20,-1,-17.02748051261786,I-122-12-6
timeRandomForest,Sensor-0_0_0.4,-6.715040568244088,0.0410958904109589,1,0,438,20,-1,-38.66838419870452,I-122-12-6
timeRandomForest,Sensor-0_0_0.6,-8.250816728758414,0.0410958904109589,1,0,441,20,-1,-65.84271338018266,I-122-12-6
univariateTS,Sensor-0.25_0_0.2,0.5047497496005285,0.0410958904109589,1,0,22035,21,22036,0.026421175103272243,I-122-12-6
univariateTS,Sensor-0.25_0_0.4,0.34734716907768626,0.0410958904109589,1,0,20019,21,20017,0.2849907178164204,I-122-12-6
univariateTS,Sensor-0.25_0_0.6,0.911929637106923,0.0410958904109589,1,0,26396,21,26395,0.8365805712178389,I-122-12-6
univariateTS,Sensor-0.5_0_0.2,0.7554877421943087,0.0410958904109589,1,0,21393,21,21392,0.16356980711682667,I-122-12-6
univariateTS,Sensor-0.5_0_0.4,0.8865633203163708,0.0410958904109589,1,0,19080,21,19080,0.9185384784284442,I-122-12-6
univariateTS,Sensor-0.5_0_0.6,-0.11797679101925596,0.0410958904109589,1,0,20474,21,20474,-0.00877063055145344,I-122-12-6
univariateTS,Sensor-0.8_0_0.2,0.9317622203237541,0.0410958904109589,1,0,28174,21,28176,0.48179031421148943,I-122-12-6
univariateTS,Sensor-0.8_0_0.4,0.9738533580231972,0.0410958904109589,1,0,24316,21,24313,0.9552283699632145,I-122-12-6
univariateTS,Sensor-0.8_0_0.6,0.9868061184800696,0.0410958904109589,1,0,21697,21,21695,0.9624945043511457,I-122-12-6
univariateTS,Sensor-0_0_0.2,-0.05737964801176054,0.0410958904109589,1,0,18074,21,18074,-1.4024292409353492,I-122-12-6
univariateTS,Sensor-0_0_0.4,-0.32566716019965747,0.0410958904109589,1,0,23583,21,23580,-3.119271931085982,I-122-12-6
univariateTS,Sensor-0_0_0.6,-0.30369093651556556,0.0410958904109589,1,0,21081,20,15373,-8.714115299594583,I-122-12-6
decisionTree,ALL,-0.5063325645485823,0.0410958904109589,-1,-1,231,20,-1,-281.1901042587519,I-122-12-6
randomForest,ALL,-0.5073085961372392,0.0410958904109589,-1,-1,493,20,-1,-281.0248089485043,I-122-12-6
timeDecisionTree,Sensor-0.25_0_0.2,-3.374999999999999,0.0410958904109589,1,0,211,20,-1,-9.0,I-122-9-5
timeDecisionTree,Sensor-0.25_0_0.4,-2.1077552901390857,0.0410958904109589,1,0,208,20,-1,-2.3617841964784287,I-122-9-5
timeDecisionTree,Sensor-0.25_0_0.6,-0.0135738574649908,0.0410958904109589,1,0,211,20,-1,-0.2995268549514813,I-122-9-5
timeDecisionTree,Sensor-0.5_0_0.2,-7.5368191281538515,0.0410958904109589,1,0,203,20,-1,-39.49708476603367,I-122-9-5
timeDecisionTree,Sensor-0.5_0_0.4,-4.170874480102782e-05,0.0410958904109589,1,0,210,20,-1,-0.3310166659252456,I-122-9-5
timeDecisionTree,Sensor-0.5_0_0.6,-2.1933176290088268,0.0410958904109589,1,0,203,20,-1,-1.3930023511123777,I-122-9-5
timeDecisionTree,Sensor-0.8_0_0.2,-3.5371085157161017,0.0410958904109589,1,0,203,20,-1,-41.013672392234646,I-122-9-5
timeDecisionTree,Sensor-0.8_0_0.4,-2.3803734719849863,0.0410958904109589,1,0,202,20,-1,-13.140734290796088,I-122-9-5
timeDecisionTree,Sensor-0.8_0_0.6,-0.6487693411100082,0.0410958904109589,1,0,210,20,-1,-4.510292436356559,I-122-9-5
timeRandomForest,Sensor-0.25_0_0.2,-2.5026041666666266,0.0410958904109589,1,0,445,20,-1,-7.111111111111024,I-122-9-5
timeRandomForest,Sensor-0.25_0_0.4,-0.609226168820133,0.0410958904109589,1,0,450,20,-1,-0.8846492797243237,I-122-9-5
timeRandomForest,Sensor-0.25_0_0.6,-0.3160086118644833,0.0410958904109589,1,0,449,20,-1,-0.0006816465849774,I-122-9-5
