execution_id,model,time
I-122-12-6,pivot,3
I-122-12-6,timeDecisionTree,25744
I-122-12-6,timeRandomForest,27859
I-122-12-6,univariateTS,289493
I-122-12-6,decisionTree,231
I-122-12-6,randomForest,493
I-122-9-5,pivot,3
I-122-9-5,timeDecisionTree,15241
I-122-9-5,timeRandomForest,17205
I-122-9-5,univariateTS,216348
I-122-9-5,decisionTree,237
I-122-9-5,randomForest,491
I-122-6-4,pivot,3
I-122-6-4,univariateTS,136550
I-122-6-4,multivariateTS,81250
I-122-6-4,timeDecisionTree,7447
I-122-6-4,timeRandomForest,8856
I-122-6-4,decisionTree,222
I-122-6-4,randomForest,475
I-122-5-3,pivot,3
I-122-5-3,univariateTS,114313
I-122-5-3,multivariateTS,210627
I-122-5-3,timeDecisionTree,5429
I-122-5-3,timeRandomForest,6569
I-122-5-3,decisionTree,229
I-122-5-3,randomForest,476
I-122-4-2,pivot,3
I-122-4-2,univariateTS,93379
I-122-4-2,multivariateTS,103093
I-122-4-2,timeDecisionTree,3725
I-122-4-2,timeRandomForest,4646
I-122-4-2,decisionTree,219
I-122-4-2,randomForest,473
I-122-3-1,pivot,3
I-122-3-1,univariateTS,70697
I-122-3-1,multivariateTS,40211
I-122-3-1,timeDecisionTree,2348
I-122-3-1,timeRandomForest,3160
I-122-3-1,decisionTree,222
I-122-3-1,randomForest,472
I-122-2-0,pivot,3
I-122-2-0,univariateTS,47950
I-122-2-0,multivariateTS,13241
I-122-2-0,timeDecisionTree,1281
I-122-2-0,timeRandomForest,1794
I-122-2-0,decisionTree,222
I-122-2-0,randomForest,473
I-120-12-6,pivot,5
I-120-12-6,timeDecisionTree,27427
I-120-12-6,timeRandomForest,29257
I-120-12-6,univariateTS,1926459
I-120-12-6,decisionTree,466
I-120-12-6,randomForest,1013
I-120-12-5,pivot,5
I-120-12-5,timeDecisionTree,27012
I-120-12-5,timeRandomForest,30108
I-120-12-5,univariateTS,1545148
I-120-12-5,decisionTree,373
I-120-12-5,randomForest,831
I-120-12-4,pivot,4
I-120-12-4,timeDecisionTree,26854
I-120-12-4,timeRandomForest,29559
I-120-12-4,univariateTS,1096289
I-120-12-4,decisionTree,360
I-120-12-4,randomForest,783
I-120-12-3,pivot,4
I-120-12-3,timeDecisionTree,28746
I-120-12-3,timeRandomForest,31532
I-120-12-3,univariateTS,990383
I-120-12-3,decisionTree,323
I-120-12-3,randomForest,688
I-120-12-2,pivot,4
I-120-12-2,timeDecisionTree,27050
I-120-12-2,timeRandomForest,30502
I-120-12-2,univariateTS,749590
I-120-12-2,decisionTree,298
I-120-12-2,randomForest,644
I-120-12-1,pivot,4
I-120-12-1,timeDecisionTree,27526
I-120-12-1,timeRandomForest,30926
I-120-12-1,univariateTS,540700
I-120-12-1,decisionTree,267
I-120-12-1,randomForest,572
I-120-12-0,pivot,3
I-120-12-0,timeDecisionTree,27381
I-120-12-0,timeRandomForest,30383
I-120-12-0,univariateTS,336722
I-120-12-0,decisionTree,248
I-120-12-0,randomForest,528
I-122-12-6,pivot,3
I-122-12-6,timeDecisionTree,25558
I-122-12-6,timeRandomForest,28504
I-122-12-6,univariateTS,289889
I-122-12-6,decisionTree,243
I-122-12-6,randomForest,518
I-122-9-5,pivot,3
I-122-9-5,timeDecisionTree,14942
I-122-9-5,timeRandomForest,17151
I-122-9-5,univariateTS,217544
I-122-9-5,decisionTree,238
I-122-9-5,randomForest,509
I-122-6-4,pivot,3
I-122-6-4,univariateTS,136566
I-122-6-4,multivariateTS,81699
I-122-6-4,timeDecisionTree,7635
I-122-6-4,timeRandomForest,8906
I-122-6-4,decisionTree,228
I-122-6-4,randomForest,484
I-122-5-3,pivot,3
I-122-5-3,univariateTS,113742
I-122-5-3,multivariateTS,211966
I-122-5-3,timeDecisionTree,5356
I-122-5-3,timeRandomForest,6475
I-122-5-3,decisionTree,221
I-122-5-3,randomForest,474
I-122-4-2,pivot,3
I-122-4-2,univariateTS,93837
I-122-4-2,multivariateTS,102316
I-122-4-2,timeDecisionTree,3805
I-122-4-2,timeRandomForest,4702
I-122-4-2,decisionTree,217
I-122-4-2,randomForest,466
I-122-3-1,pivot,3
I-122-3-1,univariateTS,70068
I-122-3-1,multivariateTS,40325
I-122-3-1,timeDecisionTree,2424
I-122-3-1,timeRandomForest,3227
I-122-3-1,decisionTree,217
I-122-3-1,randomForest,465
I-122-2-0,pivot,3
I-122-2-0,univariateTS,47679
I-122-2-0,multivariateTS,13510
I-122-2-0,timeDecisionTree,1323
I-122-2-0,timeRandomForest,1814
I-122-2-0,decisionTree,220
I-122-2-0,randomForest,467
I-120-12-6,pivot,5
I-120-12-6,timeDecisionTree,26820
I-120-12-6,timeRandomForest,29555
I-120-12-6,univariateTS,1930795
I-120-12-6,decisionTree,462
I-120-12-6,randomForest,1001
I-120-12-5,pivot,5
I-120-12-5,timeDecisionTree,27332
I-120-12-5,timeRandomForest,30649
I-120-12-5,univariateTS,1550034
I-120-12-5,decisionTree,380
I-120-12-5,randomForest,838
I-120-12-4,pivot,4
I-120-12-4,timeDecisionTree,26952
I-120-12-4,timeRandomForest,29346
I-120-12-4,univariateTS,1096310
I-120-12-4,decisionTree,355
I-120-12-4,randomForest,773
I-120-12-3,pivot,4
I-120-12-3,timeDecisionTree,29082
I-120-12-3,timeRandomForest,31925
I-120-12-3,univariateTS,998473
I-120-12-3,decisionTree,315
I-120-12-3,randomForest,681
I-120-12-2,pivot,4
I-120-12-2,timeDecisionTree,27688
I-120-12-2,timeRandomForest,30783
I-120-12-2,univariateTS,767653
I-120-12-2,decisionTree,298
I-120-12-2,randomForest,652
I-120-12-1,pivot,4
I-120-12-1,timeDecisionTree,27861
I-120-12-1,timeRandomForest,30842
I-120-12-1,univariateTS,550978
I-120-12-1,decisionTree,268
I-120-12-1,randomForest,576
I-120-12-0,pivot,3
I-120-12-0,timeDecisionTree,26742
I-120-12-0,timeRandomForest,29516
I-120-12-0,univariateTS,335801
I-120-12-0,decisionTree,247
I-120-12-0,randomForest,514
Cimice-113-Test2,pivot,1
Cimice-113-Test2,univariateTS,12609
Cimice-113-Test2,timeDecisionTree,523
Cimice-113-Test2,timeRandomForest,748
Cimice-113-Test2,decisionTree,220
Cimice-113-Test2,randomForest,531
28c8bec3-a9e5-45b6-9e07-80a49b8c66d0,pivot,1
28c8bec3-a9e5-45b6-9e07-80a49b8c66d0,timeRandomForest,962
28c8bec3-a9e5-45b6-9e07-80a49b8c66d0,univariateTS,9106
