model,component,interest,sparsity,endog,exog,component_time,execution_id
univariateTS,Sensor-0.3_0_0.6,0.6561944234229704,0.29982668977469673,1,2,76917,I14
multivariateTS,ALL,-3.997757986959856,0.29982668977469673,3,0,46861,I14
timeDecisionTree,Sensor-0.3_0_0.6,-2.053872350916225,0.29982668977469673,1,2,113,I14
timeRandomForest,Sensor-0.3_0_0.6,-2.490785571306325,0.29982668977469673,1,2,235,I14
decisionTree,ALL,-19.27110946368332,0.0999422299248989,-1,-1,128,I14
randomForest,ALL,-18.175217161056544,0.0999422299248989,-1,-1,261,I14
univariateTS,Sensor-0.3_0_0.6,0.6477985567005603,0.2987012987012987,1,2,50630,I13
multivariateTS,ALL,-3.5333936677416973,0.2987012987012987,3,0,39595,I13
timeDecisionTree,Sensor-0.3_0_0.6,-1.3318212641938918,0.2987012987012987,1,2,111,I13
timeRandomForest,Sensor-0.3_0_0.6,-1.005980364391415,0.2987012987012987,1,2,234,I13
decisionTree,ALL,-129.3445664903128,0.0995670995670995,-1,-1,122,I13
randomForest,ALL,-130.03817428896906,0.0995670995670995,-1,-1,250,I13
univariateTS,Sensor-0.3_0_0.6,-0.1551453648050338,0.2975778546712803,1,2,35292,I12
multivariateTS,ALL,0.4142121632919742,0.2975778546712803,3,0,30292,I12
timeDecisionTree,Sensor-0.3_0_0.6,-0.4205971815073686,0.2975778546712803,1,2,108,I12
timeRandomForest,Sensor-0.3_0_0.6,-0.0210713599480383,0.2975778546712803,1,2,231,I12
decisionTree,ALL,-189.5316406146844,0.09919261822376,-1,-1,119,I12
randomForest,ALL,-454.6120857854687,0.09919261822376,-1,-1,247,I12
univariateTS,Sensor-0.3_0_0.6,-16.48958492516769,0.2953367875647668,1,2,26125,I11
multivariateTS,ALL,-22.69339532181628,0.2953367875647668,3,0,28884,I11
timeDecisionTree,Sensor-0.3_0_0.6,-5.6050379178355865,0.2953367875647668,1,2,109,I11
timeRandomForest,Sensor-0.3_0_0.6,-5.29770614255191,0.2953367875647668,1,2,234,I11
decisionTree,ALL,-52.15180037226137,0.0984455958549222,-1,-1,122,I11
randomForest,ALL,-60.17560291888064,0.0984455958549222,-1,-1,246,I11
univariateTS,Sensor-0.3_0_0.6,-12.319662969563195,0.2989690721649484,1,2,13925,I10
multivariateTS,ALL,-294.5787595423003,0.2989690721649484,3,0,19697,I10
timeDecisionTree,Sensor-0.3_0_0.6,-2.9770732822606814,0.2989690721649484,1,2,108,I10
timeRandomForest,Sensor-0.3_0_0.6,-6.227285416791162,0.2989690721649484,1,2,230,I10
decisionTree,ALL,-96.90488511488552,0.0996563573883161,-1,-1,116,I10
randomForest,ALL,-92.2339962116743,0.0996563573883161,-1,-1,237,I10
univariateTS,Sensor-0.3_0_0.4,0.8760750793745595,0.1993067590987868,1,1,78179,I9
multivariateTS,ALL,-19.33505798834321,0.1993067590987868,2,0,23845,I9
timeDecisionTree,Sensor-0.3_0_0.4,-3.1512518434030072,0.1993067590987868,1,1,111,I9
timeRandomForest,Sensor-0.3_0_0.4,-3.1268873943129734,0.1993067590987868,1,1,236,I9
decisionTree,ALL,-1.6274599894466224,0.0996533795493934,-1,-1,121,I9
randomForest,ALL,-1.6742584987348894,0.0996533795493934,-1,-1,248,I9
univariateTS,Sensor-0.3_0_0.4,-2.0128042295824664,0.2,1,1,53199,I8
multivariateTS,ALL,-1.8896021871067816,0.2,2,0,12708,I8
timeDecisionTree,Sensor-0.3_0_0.4,-5.640238087845713,0.2,1,1,112,I8
timeRandomForest,Sensor-0.3_0_0.4,-5.66860303695214,0.2,1,1,232,I8
decisionTree,ALL,-7.218641411333621,0.1,-1,-1,122,I8
randomForest,ALL,-7.129225147474397,0.1,-1,-1,243,I8
univariateTS,Sensor-0.3_0_0.4,0.5391356679739476,0.1972318339100346,1,1,46469,I7
multivariateTS,ALL,-1.2739247997826542,0.1972318339100346,2,0,13806,I7
timeDecisionTree,Sensor-0.3_0_0.4,-2.561535681083837,0.1972318339100346,1,1,109,I7
timeRandomForest,Sensor-0.3_0_0.4,-2.6014661090765663,0.1972318339100346,1,1,230,I7
decisionTree,ALL,-14.862752690972776,0.0986159169550173,-1,-1,120,I7
randomForest,ALL,-14.641830901846935,0.0986159169550173,-1,-1,240,I7
univariateTS,Sensor-0.3_0_0.4,0.5582157622768564,0.1968911917098445,1,1,30814,I6
multivariateTS,ALL,0.0220262137370981,0.1968911917098445,2,0,9379,I6
timeDecisionTree,Sensor-0.3_0_0.4,-0.1901026232636142,0.1968911917098445,1,1,111,I6
timeRandomForest,Sensor-0.3_0_0.4,-0.3779277318572085,0.1968911917098445,1,1,234,I6
decisionTree,ALL,-1.0102057479556632,0.0984455958549222,-1,-1,118,I6
randomForest,ALL,-0.1454896370640837,0.0984455958549222,-1,-1,239,I6
univariateTS,Sensor-0.3_0_0.4,-124.1822358859162,0.1958762886597938,1,1,13470,I5
