execution_id,nullify,cardinality
I300,5.0,1164
I100,5.0,1164
I101,5.0,2604
I102,5.0,4044
I103,5.0,5484
I104,5.0,6924
I200,5.0,97
I201,5.0,217
I202,5.0,337
I203,5.0,457
I204,5.0,577
I205,5.0,194
I206,5.0,434
I207,5.0,674
I208,5.0,914
I209,5.0,1154
I2010,5.0,291
I2011,5.0,651
I2012,5.0,1011
I2013,5.0,1371
I2014,5.0,1731
I2015,5.0,388
I2016,5.0,868
I2017,5.0,1348
I2018,5.0,1828
I2019,5.0,2308
I2020,5.0,485
I2021,5.0,1085
I2022,5.0,1685
I2023,5.0,2285
I2024,5.0,2885
I2025,5.0,582
I2026,5.0,1302
I2027,5.0,2022
I2028,5.0,2742
I2029,5.0,3462
I2030,5.0,679
I2031,5.0,1519
I2032,5.0,2359
I2033,5.0,3199
I2034,5.0,4039
I2035,5.0,776
I2036,5.0,1736
I2037,5.0,2696
I2038,5.0,3656
I2039,5.0,4616
I2040,5.0,873
I2041,5.0,1953
I2042,5.0,3033
I2043,5.0,4113
I2044,5.0,5193
I2045,5.0,970
I2046,5.0,2170
I2047,5.0,3370
I2048,5.0,4570
I2049,5.0,5770
I2050,5.0,1067
I2051,5.0,2387
I2052,5.0,3707
I2053,5.0,5027
I2054,5.0,6347
I2055,5.0,1164
I2056,5.0,2604
I2057,5.0,4044
I2058,5.0,5484
I2059,5.0,6924
I100,5.0,1164
I101,5.0,2604
I102,5.0,4044
I103,5.0,5484
I104,5.0,6924
I200,5.0,97
I201,5.0,217
I202,5.0,337
I203,5.0,457
I204,5.0,577
I205,5.0,194
I206,5.0,434
I207,5.0,674
I208,5.0,914
I209,5.0,1154
I2010,5.0,291
I2011,5.0,651
I2012,5.0,1011
I2013,5.0,1371
I2014,5.0,1731
I2015,5.0,388
I2016,5.0,868
I2017,5.0,1348
I2018,5.0,1828
I2019,5.0,2308
I2020,5.0,485
I2021,5.0,1085
I2022,5.0,1685
I2023,5.0,2285
I2024,5.0,2885
I2025,5.0,582
I2026,5.0,1302
I2027,5.0,2022
I2028,5.0,2742
I2029,5.0,3462
I2030,5.0,679
I2031,5.0,1519
I2032,5.0,2359
I2033,5.0,3199
I2034,5.0,4039
I2035,5.0,776
I2036,5.0,1736
I2037,5.0,2696
I2038,5.0,3656
I2039,5.0,4616
I2040,5.0,873
I2041,5.0,1953
I2042,5.0,3033
I2043,5.0,4113
I2044,5.0,5193
I2045,5.0,970
I2046,5.0,2170
I2047,5.0,3370
I2048,5.0,4570
I2049,5.0,5770
I2050,5.0,1067
I2051,5.0,2387
I2052,5.0,3707
I2053,5.0,5027
I2054,5.0,6347
I2055,5.0,1164
I2056,5.0,2604
I2057,5.0,4044
I2058,5.0,5484
I2059,5.0,6924
I200,5.0,1164
I201,5.0,2604
I202,5.0,4044
I203,5.0,5484
I204,5.0,6924
I-40-0,5.0,97
I-40-1,5.0,217
I-40-2,5.0,337
I-40-3,5.0,457
I-40-4,5.0,577
I-40-5,5.0,194
I-40-6,5.0,434
I-40-7,5.0,674
I-40-8,5.0,914
I-40-9,5.0,1154
I-40-10,5.0,291
I-40-11,5.0,651
I-40-12,5.0,1011
I-40-13,5.0,1371
I-40-14,5.0,1731
I-40-15,5.0,388
I-40-16,5.0,868
I-40-17,5.0,1348
I-40-18,5.0,1828
