execution_id,model,time
cb49285d-2d7b-49fb-a3e7-5cf9b3c6e881,pivot,3
cb49285d-2d7b-49fb-a3e7-5cf9b3c6e881,univariateTS,39991
cb49285d-2d7b-49fb-a3e7-5cf9b3c6e881,timeDecisionTree,429
cb49285d-2d7b-49fb-a3e7-5cf9b3c6e881,timeRandomForest,607
cb49285d-2d7b-49fb-a3e7-5cf9b3c6e881,decisionTree,109
cb49285d-2d7b-49fb-a3e7-5cf9b3c6e881,randomForest,225
c7730a81-c7fd-4874-b0f7-4d2c1ff2ddba,pivot,4
c7730a81-c7fd-4874-b0f7-4d2c1ff2ddba,univariateTS,27585
c7730a81-c7fd-4874-b0f7-4d2c1ff2ddba,timeDecisionTree,434
c7730a81-c7fd-4874-b0f7-4d2c1ff2ddba,timeRandomForest,599
c7730a81-c7fd-4874-b0f7-4d2c1ff2ddba,decisionTree,106
c7730a81-c7fd-4874-b0f7-4d2c1ff2ddba,randomForest,222
ab44a87c-0cc5-4e4c-8b9a-bbfcc966ee78,pivot,3
ab44a87c-0cc5-4e4c-8b9a-bbfcc966ee78,univariateTS,32671
ab44a87c-0cc5-4e4c-8b9a-bbfcc966ee78,timeDecisionTree,611
ab44a87c-0cc5-4e4c-8b9a-bbfcc966ee78,timeRandomForest,910
ab44a87c-0cc5-4e4c-8b9a-bbfcc966ee78,decisionTree,142
ab44a87c-0cc5-4e4c-8b9a-bbfcc966ee78,randomForest,305
