execution_id,nullify,cardinality
41d0d0e1-b964-4faa-90f4-71c8ee8cd2e6,10.0,97
38c4ecd9-56b7-4124-ae7e-466fc87f8a09,10.0,193
d5097fa5-06c1-4009-bc7d-968db17c71e8,10.0,289
6dc94e10-0817-4b95-99af-17e68ee63815,10.0,385
9c7e1ed0-6b6f-45e0-b5f5-bac65cc6cb9d,10.0,194
b5ab10e8-a3f0-4945-a1ff-c9cc2cfac381,10.0,386
65a5c5f1-fba4-4def-984d-f794c9d80f72,10.0,578
44380484-89ce-4952-9b2b-eee0c45778ae,10.0,770
45c0adb1-ffc6-42bc-8090-d9d0d6df6786,10.0,97
bfc5c2a4-a62c-4bae-b230-108e3889b6ba,10.0,193
7687d47e-75e2-47a7-a300-a454bc8bce3f,10.0,289
f6d5d5a0-0118-4631-a892-58f06df023b4,10.0,385
