ISO Week of Data monitoraggio,Measure Names,Avg. grado_giorno_cum,Measure Values
W10,Avg. Catture Giovani IV - V (large),0.276624883,0
W11,Avg. Catture Giovani IV - V (large),0.571430412,0
W12,Avg. Catture Giovani IV - V (large),0.589924515,0
W13,Avg. Catture Giovani IV - V (large),7.507002045,0
W14,Avg. Catture Giovani IV - V (large),13.050228840,0
W15,Avg. Catture Giovani IV - V (large),15.407460022,0
W16,Avg. Catture Giovani IV - V (large),17.672202640,0
W17,Avg. Catture Giovani IV - V (large),29.385541503,0
W18,Avg. Catture Giovani IV - V (large),53.205677005,0
W19,Avg. Catture Giovani IV - V (large),87.257226496,0
W20,Avg. Catture Giovani IV - V (large),133.904504879,0
W21,Avg. Catture Giovani IV - V (large),187.178190648,0
W22,Avg. Catture Giovani IV - V (large),238.152979241,0
W23,Avg. Catture Giovani IV - V (large),301.727071263,0.000909642
W24,Avg. Catture Giovani IV - V (large),369.336988354,0.006280637
W25,Avg. Catture Giovani IV - V (large),455.351555673,0.189564648
W26,Avg. Catture Giovani IV - V (large),548.635426315,0.540716374
W27,Avg. Catture Giovani IV - V (large),638.540788860,1.233893825
W28,Avg. Catture Giovani IV - V (large),721.004448108,1.970595549
W29,Avg. Catture Giovani IV - V (large),807.152875678,2.367687434
W30,Avg. Catture Giovani IV - V (large),905.733256566,2.201266266
W31,Avg. Catture Giovani IV - V (large),996.919129932,1.561847127
W32,Avg. Catture Giovani IV - V (large),1086.720370011,1.664820141
W33,Avg. Catture Giovani IV - V (large),1183.347280036,2.102358974
W34,Avg. Catture Giovani IV - V (large),1261.980215883,3.514293640
W35,Avg. Catture Giovani IV - V (large),1333.138967016,3.954837720
W36,Avg. Catture Giovani IV - V (large),1396.904419468,5.878083738
W37,Avg. Catture Giovani IV - V (large),1467.695837450,6.289293601
W38,Avg. Catture Giovani IV - V (large),1525.759429452,4.943073660
W39,Avg. Catture Giovani IV - V (large),1572.599217590,2.555258107
W40,Avg. Catture Giovani IV - V (large),1604.114560195,1.467889312
W41,Avg. Catture Giovani IV - V (large),1627.734829414,0.737210167
W42,Avg. Catture Giovani IV - V (large),1625.747321509,0.547899160
W10,Avg. Catture Giovani II - III (small),0.276624883,0
W11,Avg. Catture Giovani II - III (small),0.571430412,0
W12,Avg. Catture Giovani II - III (small),0.589924515,0
W13,Avg. Catture Giovani II - III (small),7.507002045,0
W14,Avg. Catture Giovani II - III (small),13.050228840,0
W15,Avg. Catture Giovani II - III (small),15.407460022,0
W16,Avg. Catture Giovani II - III (small),17.672202640,0
W17,Avg. Catture Giovani II - III (small),29.385541503,0
W18,Avg. Catture Giovani II - III (small),53.205677005,0
W19,Avg. Catture Giovani II - III (small),87.257226496,0
W20,Avg. Catture Giovani II - III (small),133.904504879,0
