Week,#Adults,#LargeInstars,#SmallInstars
10,0.0,0.0,0.0
11,0.028070175,0.0,0.0
12,0.056564667,0.0,0.0
13,0.608523887,0.0,0.0
14,0.729086901,0.0,0.0
15,0.347953216,0.0,0.0
16,0.920569057,0.0,0.0
17,2.262593467,0.0,0.0
18,3.919053248,0.0,0.0
19,4.323264337,0.0,0.0
20,5.041111207,0.0,0.0
21,4.874512051,0.0,0.012987013
22,3.733963388,0.0,0.079069767
23,3.554856938,0.000909642,0.622135311
24,2.464550872,0.006280637,1.768523829
25,2.281332386,0.189564648,5.862412892
26,1.976760712,0.540716374,7.559641805
27,1.989149046,1.233893825,6.824733898
28,2.703963313,1.970595549,5.534349984
29,3.873512599,2.367687434,4.95554142
30,6.691184789,2.201266266,5.554413033
31,7.734650713,1.561847127,6.523004016
32,8.498354404,1.664820141,7.830312413
33,8.341544145,2.102358974,12.631944818
34,10.09350808,3.51429364,15.004649141
35,8.558626192,3.95483772,14.098634021
36,11.798784142,5.878083738,10.309805331
37,19.761039739,6.289293601,8.072160912
38,28.325675207,4.94307366,2.829332971
39,31.031253322,2.555258107,0.436443918
40,31.514577835,1.467889312,0.195767196
41,25.807359596,0.737210167,0.058495822
42,25.020059304,0.54789916,0.0
